"","Collection.date","Lineage names","n","freq"
"522",2022-06-08,"BA.2.3",2,1.44
"523",2022-06-08,"BA.2.37",2,1.44
"524",2022-06-08,"BA.4",2,1.44
"525",2022-06-08,"BA.5.2.1",2,1.44
"526",2022-06-08,"BE.1",2,1.44
"527",2022-06-04,"BA.2.13",1,1.43
"528",2022-06-03,"BA.2.3",1,1.41
"529",2022-06-03,"BA.5.1",1,1.41
"530",2022-06-03,"Other",1,1.41
"531",2022-04-21,"BA.2.10",1,1.39
"532",2022-04-21,"BA.2.12",1,1.39
"533",2022-04-21,"BA.2.21",1,1.39
"534",2022-04-21,"BA.2.8",1,1.39
"535",2022-05-16,"BA.2.41",2,1.37
"536",2022-05-16,"BA.4",2,1.37
"537",2022-05-13,"BA.2.13",2,1.32
"538",2022-05-13,"BA.2.7",2,1.32
"539",2022-05-10,"BA.2.23",2,1.31
"540",2022-05-10,"BA.2.7",2,1.31
"541",2022-05-10,"BA.4",2,1.31
"542",2022-05-28,"BA.2.13",1,1.3
"543",2022-05-28,"BA.2.7",1,1.3
"544",2022-05-28,"BA.2.8",1,1.3
"545",2022-05-28,"BA.4",1,1.3
"546",2022-05-03,"BA.1.1",2,1.29
"547",2022-05-03,"Other",2,1.29
"548",2022-04-15,"Other",2,1.28
"549",2022-05-09,"BA.2.3",2,1.27
"550",2022-05-25,"BA.2.37",1,1.27
"551",2022-05-25,"BA.2.7",1,1.27
"552",2022-05-25,"BA.4",1,1.27
"553",2022-05-25,"Other",1,1.27
"554",2022-06-24,"BA.2.13",1,1.25
"555",2022-06-24,"BA.2.18",1,1.25
"556",2022-05-04,"BA.1.1",2,1.23
"557",2022-05-04,"BA.2.10",2,1.23
"558",2022-05-04,"BA.2.21",2,1.23
"559",2022-05-04,"BA.2.26",2,1.23
"560",2022-06-13,"BA.2.18",1,1.23
"561",2022-06-13,"BA.2.3",1,1.23
"562",2022-06-13,"BA.4.1",1,1.23
"563",2022-06-13,"Unassigned",1,1.23
"564",2022-04-16,"BA.2.10",1,1.22
"565",2022-04-16,"BA.2.13",1,1.22
"566",2022-04-16,"BA.2.23.1",1,1.22
"567",2022-04-16,"BA.2.37",1,1.22
"568",2022-04-16,"BA.2.7",1,1.22
"569",2022-05-14,"BA.2.12",1,1.22
"570",2022-05-14,"BA.2.18",1,1.22
"571",2022-05-14,"BA.2.23.1",1,1.22
"572",2022-05-14,"BA.5.1",1,1.22
"573",2022-06-10,"BA.2.13",1,1.2
"574",2022-06-10,"BA.4",1,1.2
"575",2022-06-10,"Other",1,1.2
"576",2022-06-02,"BA.2.10",1,1.15
"577",2022-06-02,"Other",1,1.15
"578",2022-05-05,"Other",2,1.13
"579",2022-06-01,"BA.2.1",1,1.09
"580",2022-06-01,"BA.2.18",1,1.09
"581",2022-06-01,"BA.2.20",1,1.09
"582",2022-06-01,"BA.2.3",1,1.09
"583",2022-05-21,"BA.2.23.1",1,1.08
"584",2022-04-20,"BA.2.12",1,1.06
"585",2022-04-20,"BA.2.13",1,1.06
"586",2022-04-20,"Other",1,1.06
"587",2022-05-19,"BA.2.10",1,1.06
"588",2022-05-19,"BA.2.21",1,1.06
